ds,yhat,yhat_lower,yhat_upper
2023-08-19 14:22:34,0.018305741836097948,-0.022751594626519583,0.05980693894918366
2023-08-25 10:20:05,0.022352967665727783,-0.016080531559755213,0.0641719510692461
2023-08-28 16:03:27,0.024707333397218458,-0.014314693088786162,0.06461282581944439
2023-09-02 17:01:52,0.025487572403326157,-0.0107939028283931,0.06565298783682479
2023-09-07 17:44:09,0.022089521301660996,-0.01627722172341171,0.06311766197964447
2023-09-10 17:45:50,0.020426379210999906,-0.020641430053852994,0.06034054288727979
2023-09-18 14:41:22,0.02061697427882036,-0.018074947720657902,0.05929045533519725
2023-09-18 20:44:52,0.02123060907649856,-0.017855749047723905,0.05855570131138284
2023-09-24 13:10:49,0.02760548414283579,-0.009939193365216547,0.06931645299925628
2023-09-25 13:07:57,0.0291501844591932,-0.012501715490241547,0.06998288219096238
